TIME	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	姚江沿线大工业用水区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	海曙平原区	绍虞平原区	舟山大陆用水区	虞北平原上河区	虞北平原中河区	蜀山平原区	鄞州调水区	余姚平原马渚中河区
2025/06/28	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/29	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/30	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/01	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/02	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/03	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/04	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/05	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/06	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/07	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/08	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/09	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/10	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/11	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/12	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/13	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/14	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/15	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/16	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/17	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/18	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/19	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/20	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/21	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/22	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/23	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/24	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/25	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/26	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/27	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/28	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/29	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/30	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
